Name,Year,Search_URL
Satya Nadella,2016,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Satya Nadella,2015,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2015,cd_max:12/31/2015"
Satya Nadella,2016,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Satya Nadella,2016,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2016,cd_max:12/31/2016"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Satya Nadella,2017,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2017,cd_max:12/31/2017"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
Satya Nadella,2019,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2019,cd_max:12/31/2019"
Satya Nadella,2018,"https://www.google.com/search?q=Satya%20Nadella%20Microsoft%20Corporation&tbm=isch&tbs=cdr:1,cd_min:1/1/2018,cd_max:12/31/2018"
