Ticker,CEO,Year,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral
CSCO,Chuck Robbins,2017,31,Man,latino hispanic,fear,0.20642558,99.79358,9.358355,4.561326,2.785828,34.383083,11.459592,37.451824,3.8488126,0.16041768,57.762455,1.6934897,35.245144,0.6564378,0.63324976
CSCO,Chuck Robbins,2018,23,Man,white,happy,0.0014421772,99.99856,0.050543074,0.114397146,0.010046194,87.08356,3.4873176,9.254137,3.9234383e-05,7.8948074e-07,0.00034037087,99.522964,0.00937858,0.00034561986,0.46693337
CSCO,Chuck Robbins,2019,23,Man,white,happy,0.0014844128,99.99851,0.08417471,0.20193467,0.019572485,83.27633,4.9507055,11.467281,1.998507e-05,3.295529e-08,4.3460164e-05,99.89993,0.0019517073,0.00019715661,0.097859606
ORCL,Larry Ellison,2010,45,Man,white,fear,0.111210465,99.888794,0.013032378,0.05408209,0.0011828002,93.19037,4.9606657,1.7806696,11.334169,0.052809045,82.643105,1.4328078,0.0034371843,4.50286,0.030814717
ORCL,Larry Ellison,2012,30,Man,latino hispanic,angry,0.01545572,99.984535,19.6025,15.594217,11.805489,13.885981,10.923735,28.18808,48.09778,5.7487617,9.970167,0.10463155,11.3740225,4.6865706,20.01806
ORCL,Larry Ellison,2013,44,Man,white,happy,0.0015018187,99.9985,2.4585273,0.7994604,0.16196881,74.665596,8.376321,13.538125,0.16899294,0.11252548,6.5590935,57.093353,1.5392193,0.37517834,34.15164
ORCL,Safra Catz & Mark Hurd,2014,43,Man,white,happy,0.09659657,99.903404,0.0041571273,0.00490654,2.5781237e-05,97.860306,1.048137,1.0824744,0.28733662,0.0032069176,0.33968318,95.78536,0.037930332,1.1564745,2.390002
ORCL,Safra Catz & Mark Hurd,2015,28,Man,white,happy,0.0059112017,99.99409,4.6803927,6.1757913,1.1476288,34.666016,27.289003,26.041174,3.308562e-05,5.495687e-07,0.00072513166,99.914604,2.8544744e-05,0.0008691776,0.083736084
ORCL,Safra Catz & Mark Hurd,2016,30,Man,white,sad,0.08176897,99.91823,0.03434055,0.06015952,0.0009457431,90.933334,4.977587,3.993637,0.024044432,1.10325594e-13,0.29899633,0.07447542,73.371956,1.0726966,25.157827
ORCL,Safra Catz & Mark Hurd,2017,30,Man,white,sad,0.08176897,99.91823,0.03434055,0.06015952,0.0009457431,90.933334,4.977587,3.993637,0.024044432,1.10325594e-13,0.29899633,0.07447542,73.371956,1.0726966,25.157827
